,0
0,{{flagicon|USA}} {{flagicon|CAN}} [[1990年]][[1月12日]]<br /> {{flagicon|JPN}} 劇場未公開
1,{{flagicon|USA}} [[1990年]][[1月12日]]<br /> {{flagicon|JPN}} 1990年[[6月29日]]
2,{{flagicon|USA}} [[1990年]][[1月12日]]<br /> {{flagicon|JPN}} [[1991年]][[10月12日]]
3,no_ja
4,no_ja
5,no_ja
6,no_ja
7,{{flagicon|USA}} [[1990年]][[1月19日]]<br /> {{flagicon|JPN}} 1990年[[6月15日]]
8,no_ja
9,no_ja
10,no_ja
11,no_ja
12,{{flagicon|USA}} 1990年2月2日<br /> {{flagicon|JPN}} 1990年10月6日
13,{{flagicon|USA}} 1990年2月9日<br /> {{flagicon|JPN}} 1990年11月17日
14,{{flagicon|USA}} 1990年2月9日<br /> {{flagicon|JPN}} 1990年9月15日
15,no_ja
16,no_ja
17,{{flagicon|USA}} 1990年2月16日<br /> {{flagicon|JPN}} 劇場未公開
18,{{flagicon|USA}} [[1990年]][[2月23日]]<br /> {{flagicon|JPN}} 1990年[[3月3日]]
19,{{flagicon|USA}} [[1990年]][[2月16日]]<br /> {{flagicon|JPN}} [[1990年]][[5月19日]]
20,{{flagicon|USA}} [[1990年]][[2月16日]]<br /> {{flagicon|JPN}} [[1990年]][[5月19日]]
21,no_ja
22,{{Flagicon|USA}} 1990年3月2日<br /> {{Flagicon|JPN}} 1990年7月13日
23,{{flagicon|USA}} [[1990年]][[3月9日]]<br /> {{flagicon|JPN}} 1990年[[10月12日]]
24,{{flagicon|USA}} 1990年3月9日
25,no_ja
26,no_ja
27,{{flagicon|USA}} 1990年3月9日<br /> {{flagicon|JPN}} 劇場未公開
28,{{flagicon|USA}} [[1990年]][[3月9日]]<br /> {{flagicon|JPN}} 1990年[[10月6日]]
29,no_ja
30,no_dates
31,{{flagicon|USA}} 1990年3月16日<br /> {{flagicon|JPN}} 1990年4月28日
32,no_ja
33,no_ja
34,no_ja
35,no_dates
36,{{Flagicon|USA}} [[1990年]][[3月23日]]<br /> {{Flagicon|JPN}} 1990年[[12月14日]]
37,no_ja
38,no_ja
39,no_ja
40,no_ja
41,{{flagicon|USA}} [[1990年]][[3月22日]]<br /> {{flagicon|JPN}} 劇場未公開
42,{{flagicon|USA}} 1990年4月3日<br /> {{flagicon|JPN}} 1991年5月3日<br /> 1995年7月（バックトラック版）
43,no_ja
44,{{flagicon|USA}} 1990年4月6日<br /> {{flagicon|JPN}} 1991年7月20日
45,no_ja
46,{{flagicon|USA}} [[1990年]][[4月6日]]<br /> {{flagicon|JPN}} [[1991年]][[5月25日]]
47,{{Flagicon|USA}} [[1990年]][[4月6日]]<br /> {{Flagicon|JPN}} [[1990年]][[11月10日]]
48,no_ja
49,{{flagicon|USA}} 1990年4月6日<br /> {{flagicon|JPN}} 劇場未公開
50,no_ja
51,no_ja
52,{{flagicon|USA}} 1990年4月13日<br /> {{flagicon|JPN}} 1990年10月12日
53,no_ja
54,no_ja
55,no_ja
56,{{flagicon|USA}} [[1990年]][[4月27日]]<br /> {{flagicon|JPN}} [[1990年]][[9月28日]]
57,no_ja
58,{{flagicon|USA}} 1990年4月27日<br /> {{flagicon|JPN}} 劇場未公開
59,{{flagicon|USA}} 1990年4月27日<br /> {{flagicon|Japan}} 1990年5月26日
60,no_infobox
61,no_infobox
62,no_ja
63,{{flagicon|USA}} [[1990年]][[5月11日]]<br /> {{flagicon|JPN}} 1990年[[6月8日]]
64,no_ja
65,no_ja
66,{{flagicon|USA}} 1990年5月18日<br /> {{flagicon|JPN}} 1990年9月14日
67,no_dates
68,no_ja
69,no_ja
70,{{flagicon|USA}} [[1990年]][[5月25日]]<br /> {{flagicon|JPN}} [[1990年]][[7月6日]]
71,{{flagicon|USA}} [[1990年]][[5月25日]]<br /> {{flagicon|JPN}} [[1990年]][[8月11日]]
72,no_ja
73,{{flagicon|USA}} [[1990年]][[6月1日]]<br /> {{flagicon|JPN}} 1990年[[12月1日]]
74,{{flagicon|USA}} [[1990年]][[6月8日]]<br /> {{flagicon|JPN}} [[1990年]][[10月19日]]
75,{{flagicon|USA}} [[1990年]][[6月15日]]<br /> {{flagicon|JPN}} 1990年[[12月24日]]
76,{{flagicon|USA}} 1990年6月15日<br /> {{flagicon|JPN}} 1990年8月3日
77,no_ja
78,no_ja
79,{{flagicon|USA}} [[1990年]][[6月22日]]<br /> {{flagicon|JPN}} 1990年[[7月14日]]
80,no_ja
81,{{flagicon|USA}} [[1990年]][[6月27日]]<br /> {{flagicon|JPN}} [[1990年]][[6月29日]]
82,no_ja
83,{{Flagicon|USA}} [[1990年]][[7月4日]]<br /> {{flagicon|JPN}} [[1990年]][[9月21日]]
84,no_ja
85,{{flagicon|USA}} 1990年7月11日<br /> {{flagicon|JPN}} 1990年10月13日
86,{{flagicon|USA}} [[1990年]][[7月13日]]<br /> {{flagicon|Japan}} 1990年[[9月28日]]
87,no_ja
88,no_dates
89,{{flagicon|USA}} [[1990年]][[7月13日]]
90,{{flagicon|USA}} [[1990年]][[7月18日]]<br /> {{flagicon|JPN}} [[1991年]][[3月8日]]
91,{{flagicon|USA}} [[1990年]][[7月20日]]<br /> {{flagicon|JPN}} 1990年[[10月]]
92,{{flagicon|USA}} 1990年7月20日<br> {{flagicon|JPN}} 1990年10月20日
93,no_ja
94,{{flagicon|AUS}} [[1990年]][[7月26日]]<br /> {{flagicon|JPN}} [[1991年]][[4月5日]]
95,no_ja
96,{{Flagicon|USA}} [[1990年]][[7月27日]]<br /> {{Flagicon|JPN}} [[1991年]][[6月8日]]
97,{{flagicon|USA}} 1990年7月27日<br /> {{flagicon|JPN}} 1991年4月19日
98,{{flagicon|USA}} 1990年8月1日<br /> {{flagicon|JPN}} 1990年11月10日
99,{{flagicon|USA}} 1990年8月3日
100,no_ja
101,no_ja
102,{{flagicon|USA}} [[1990年]][[8月10日]]<br /> {{flagicon|JPN}} [[1991年]][[2月16日]]
103,no_ja
104,{{flagicon|USA}} [[1990年]][[8月10日]]<br /> {{flagicon|JPN}} [[1991年]][[2月22日]]
